category,concept,node-value,sensekey,article,singular,plural,generic,taxonomic-question,taxonomic-declarative
animal,animal,animal.n.01,animal%1.03.00,animals,animal,animals,p,Are animals a type of,animals are a type of
animal,vertebrate,vertebrate.n.01,vertebrate%1.05.00,a vertebrate,vertebrate,vertebrates,p,Are vertebrates a type of,vertebrates are a type of
animal,invertebrate,invertebrate.n.01,invertebrate%1.05.00,an invertebrate,invertebrate,invertebrates,p,Are invertebrates a type of,invertebrates are a type of
animal,mammal,mammal.n.01,mammal%1.05.00,a mammal,mammal,mammals,p,Are mammals a type of,mammals are a type of
animal,bird,bird.n.01,bird%1.05.00,a bird,bird,birds,p,Are birds a type of,birds are a type of
animal,reptile,reptile.n.01,reptile%1.05.00,a reptile,reptile,reptiles,p,Are reptiles a type of,reptiles are a type of
animal,amphibian,amphibian.n.03,amphibian%1.05.00,an amphibian,amphibian,amphibians,p,Are amphibians a type of,amphibians are a type of
animal,fish,fish.n.01,fish%1.05.00,a fish,fish,fishes,p,Are fishes a type of,fishes are a type of
animal,arthropod,arthropod.n.01,arthropod%1.05.00,an arthropod,arthropod,arthropods,p,Are arthropods a type of,arthropods are a type of
animal,insect,insect.n.01,insect%1.05.00,an insect,insect,insects,p,Are insects a type of,insects are a type of
animal,bird of prey,bird_of_prey.n.01,bird_of_prey%1.05.00,a bird of prey,bird of prey,birds of prey,p,Are birds of prey a type of,birds of prey are a type of
animal,aquatic bird,aquatic_bird.n.01,aquatic_bird%1.05.00,an aquatic bird,aquatic bird,aquatic birds,p,Are aquatic birds a type of,aquatic birds are a type of
animal,canine,canine.n.02,canine%1.05.00,a canine,canine,canines,p,Are canines a type of,canines are a type of
animal,feline,feline.n.01,feline%1.05.00,a feline,feline,felines,p,Are felines a type of,felines are a type of
animal,primate,primate.n.02,primate%1.05.00,a primate,primate,primates,p,Are primates a type of,primates are a type of
animal,aquatic mammal,aquatic_mammal.n.01,aquatic_mammal%1.05.00,an aquatic mammal,aquatic mammal,aquatic mammals,p,Are aquatic mammals a type of,aquatic mammals are a type of
animal,rodent,rodent.n.01,rodent%1.05.00,a rodent,rodent,rodents,p,Are rodents a type of,rodents are a type of
appliance,appliance,appliance.n.02,appliance%1.06.00,an appliance,appliance,appliances,p,Are appliances a type of,appliances are a type of
body part,body part,body_part.n.01,body_part%1.08.00,body parts,body part,body parts,p,Are body parts a type of,body parts are a type of
clothing,clothing,clothing.n.01,clothing%1.06.00,clothing,clothing,clothing,p,Are clothing a type of,clothing are a type of
container,container,container.n.01,clothes%1.06.00,a container,container,containers,p,Are containers a type of,containers are a type of
food,drink,drink.n.01,drink%1.13.00,a drink,drink,drinks,p,Are drinks a type of,drinks are a type of
plant,flower,beverage.n.01,flower%1.20.00,a flower,flower,flowers,p,Are flowers a type of,flowers are a type of
food,food,food.n.01,food%1.03.00,food,food,foods,p,Are foods a type of,foods are a type of
produce,fruit,fruit.n.01,fruit%1.20.00,fruit,fruit,fruits,p,Are fruits a type of,fruits are a type of
furniture,furniture,furniture.n.01,furniture%1.06.00,furniture,furniture,furniture,p,Are furniture a type of,furniture are a type of
tool,kitchenware,kitchen_appliance.n.01,kitchenware%1.06.00,kitchenware,kitchenware,kitchenware,p,Are kitchenware a type of,kitchenware are a type of
musical instrument,musical instrument,musical_instrument.n.01,musical_instrument%1.06.00,a musical instrument,musical instrument,musical instruments,p,Are musical instruments a type of,musical instruments are a type of
tool,tool,tool.n.01,tool%1.06.00,a tool,tool,tools,p,Are tools a type of,tools are a type of
toy,toy,plaything.n.01,toy%1.06.00,a toy,toy,toys,p,Are toys a type of,toys are a type of
plant,tree,tree.n.01,tree%1.20.00,a tree,tree,trees,p,Are trees a type of,trees are a type of
produce,vegetable,vegetable.n.01,veg%1.13.00,a vegetable,vegetable,vegetables,p,Are vegetables a type of,vegetables are a type of
vehicle,vehicle,vehicle.n.01,vehicle%1.06.00,a vehicle,vehicle,vehicles,p,Are vehicles a type of,vehicles are a type of
vehicle,water vehicle,vessel.n.02,watercraft%1.06.00,a water vehicle,water vehicle,water vehicles,p,Are water vehicles a type of,water vehicles are a type of
weapon,weapon,weapon.n.01,weapon%1.06.00,a weapon,weapon,weapons,p,Are weapons a type of,weapons are a type of
food,dessert,dessert.n.01,dessert%1.13.00,a dessert,dessert,desserts,p,Are desserts a type of,desserts are a type of
wind instrument,wind instrument,wind_instrument.n.01,wind_instrument%1.06.00,a wind instrument,wind instrument,wind instruments,p,,
string instrument,string instrument,stringed_instrument.n.01,stringed_instrument%1.06.00,a string instrument,string instrument,string instruments,p,,
percussion instrument,percussion instrument,percussion_instrument.n.01,percussion_instrument%1.06.00,a percussion instrument,percussion instrument,percussion instruments,p,,
reed instrument,reed instrument,woodwind.n.01,reed_instrument%1.06.00,a reed instrument,reed instrument,reed instruments,p,,
